Neutral Citation,Judge,Court,Link,Judge ID
2021_IESC_80,Hogan J.,Supreme Court,https://en.wikipedia.org//wiki/Gerard_Hogan,7394
2021_IESC_80,Dunne J.,Supreme Court,https://en.wikipedia.org//wiki/Elizabeth_Dunne,26176
2021_IESC_80,Charleton J.,Supreme Court,https://en.wikipedia.org//wiki/Peter_Charleton,60366
2021_IESC_80,Baker J.,Supreme Court,https://en.wikipedia.org//wiki/Marie_Baker,59697
2021_IESC_80,Woulfe J.,Supreme Court,https://en.wikipedia.org//wiki/S%C3%A9amus_Woulfe,59252
2021_IESC_80,Hogan J.,Supreme Court,https://en.wikipedia.org//wiki/Gerard_Hogan,7394
2021_IESC_81,O'Donnell C.J.,Supreme Court,https://en.wikipedia.org/wiki/Donal_O%27Donnell,1552
2021_IESC_81,Mac Menamin J.,Supreme Court,https://en.wikipedia.org//wiki/John_MacMenamin,57964
2021_IESC_81,Dunne J.,Supreme Court,https://en.wikipedia.org//wiki/Elizabeth_Dunne,26176
2021_IESC_81,O'Malley J.,Supreme Court,https://en.wikipedia.org//wiki/Iseult_O%27Malley,7730
2021_IESC_81,Baker J.,Supreme Court,https://en.wikipedia.org//wiki/Marie_Baker,59697
2021_IESC_82,O'Donnell C.J.,Supreme Court,https://en.wikipedia.org/wiki/Donal_O%27Donnell,1552
2021_IESC_82,Charleton J.,Supreme Court,https://en.wikipedia.org//wiki/Peter_Charleton,60366
2021_IESC_82,Baker J.,Supreme Court,https://en.wikipedia.org//wiki/Marie_Baker,59697
2021_IESC_82,Woulfe J.,Supreme Court,https://en.wikipedia.org//wiki/S%C3%A9amus_Woulfe,59252
2021_IESC_82,Hogan J.,Supreme Court,https://en.wikipedia.org//wiki/Gerard_Hogan,7394
2022_IECA_20,Edwards J.,Court of Appeal,https://en.wikipedia.org//wiki/John_A._Edwards,25997
2022_IECA_20,McCarthy J.,Court of Appeal,https://en.wikipedia.org//wiki/Patrick_McCarthy_(judge),51049
2022_IECA_20,Kennedy J.,Court of Appeal,https://en.wikipedia.org//wiki/Isobel_Kennedy,12485
2022_IECA_21,Haughton J.,Court of Appeal,https://en.wikipedia.org//wiki/Robert_Haughton,12919
2022_IECA_21,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2022_IECA_21,Pilkington J.,Court of Appeal,https://en.wikipedia.org//wiki/Teresa_Pilkington,57053
2022_IECA_22,Haughton J.,Court of Appeal,https://en.wikipedia.org//wiki/Robert_Haughton,12919
2022_IECA_22,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2022_IECA_22,Pilkington J.,Court of Appeal,https://en.wikipedia.org//wiki/Teresa_Pilkington,57053
2022_IECA_24,Haughton J.,Court of Appeal,https://en.wikipedia.org//wiki/Robert_Haughton,12919
2022_IECA_24,Murray J.,Supreme Court,https://en.wikipedia.org//wiki/Brian_Murray_(judge),2138
2022_IECA_24,Pilkington J.,Court of Appeal,https://en.wikipedia.org//wiki/Teresa_Pilkington,57053
2022_IECA_27,Faherty J.,Court of Appeal,https://en.wikipedia.org//wiki/Mary_Faherty,2494
2022_IECA_27,Collins J.,Court of Appeal,https://en.wikipedia.org//wiki/Maurice_Collins_(judge),29689
2022_IECA_27,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2022_IECA_28,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2022_IECA_28,Collins J.,Court of Appeal,https://en.wikipedia.org//wiki/Maurice_Collins_(judge),29689
2022_IECA_28,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2022_IECA_32,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2022_IECA_32,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2022_IECA_32,Haughton J.,Court of Appeal,https://en.wikipedia.org//wiki/Robert_Haughton,12919
2022_IECA_33,Whelan J.,Court of Appeal,https://en.wikipedia.org//wiki/M%C3%A1ire_Whelan,49920
2022_IECA_33,Costello J.,Court of Appeal,https://en.wikipedia.org//wiki/Caroline_Costello,41498
2022_IECA_33,Murray J.,Supreme Court,https://en.wikipedia.org//wiki/Brian_Murray_(judge),2138
2022_IECA_34,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2022_IECA_34,Faherty J.,Court of Appeal,https://en.wikipedia.org//wiki/Mary_Faherty,2494
2022_IECA_34,Collins J.,Court of Appeal,https://en.wikipedia.org//wiki/Maurice_Collins_(judge),29689
2022_IECA_35,Whelan J.,Court of Appeal,https://en.wikipedia.org//wiki/M%C3%A1ire_Whelan,49920
2022_IECA_35,Murray J.,Supreme Court,https://en.wikipedia.org//wiki/Brian_Murray_(judge),2138
2022_IECA_35,Pilkington J.,Court of Appeal,https://en.wikipedia.org//wiki/Teresa_Pilkington,57053
2022_IECA_36,Birmingham P.,Supreme Court,https://en.wikipedia.org//wiki/George_Birmingham,14013
2022_IECA_36,Birmingham P.,Court of Appeal,https://en.wikipedia.org//wiki/George_Birmingham,14013
2022_IECA_36,McCarthy J.,Court of Appeal,https://en.wikipedia.org//wiki/Patrick_McCarthy_(judge),51049
2022_IECA_36,Kennedy J.,Court of Appeal,https://en.wikipedia.org//wiki/Isobel_Kennedy,12485
2022_IECA_37,Edwards J.,Court of Appeal,https://en.wikipedia.org//wiki/John_A._Edwards,25997
2022_IECA_37,McCarthy J.,Court of Appeal,https://en.wikipedia.org//wiki/Patrick_McCarthy_(judge),51049
2022_IECA_37,Kennedy J.,Court of Appeal,https://en.wikipedia.org//wiki/Isobel_Kennedy,12485
2022_IECA_39,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2022_IECA_39,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2022_IECA_39,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2022_IECA_41,Edwards J.,Court of Appeal,https://en.wikipedia.org//wiki/John_A._Edwards,25997
2022_IECA_41,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2022_IECA_41,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2022_IECA_42,Birmingham P.,Supreme Court,https://en.wikipedia.org//wiki/George_Birmingham,14013
2022_IECA_42,Birmingham P.,Court of Appeal,https://en.wikipedia.org//wiki/George_Birmingham,14013
