Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2021_IECA_1,European Convention,European Convention,,,,47442,45665
2021_IECA_119,European Convention,European Convention,,,,47442,45665
2021_IECA_16,European Convention,European Convention,,,,47442,45665
2021_IECA_165,European Convention,European Convention,,,,47442,45665
2021_IECA_188,European Convention,European Convention,,,,47442,45665
2021_IECA_209,European Convention,European Convention,,,,47442,45665
2021_IECA_210,European Convention,European Convention,,,,47442,45665
2021_IECA_219,European Convention,European Convention,,,,47442,45665
2021_IECA_248,European Convention,European Convention,,,,47442,45665
2021_IECA_250,European Convention,European Convention,,,,47442,45665
2021_IECA_251,European Convention,European Convention,,,,47442,45665
2021_IECA_259,Aarhus Convention,Aarhus Convention,,,,63324,59889
2021_IECA_259,European Convention,European Convention,,,,47442,45665
2021_IECA_273,European Convention,European Convention,,,,47442,45665
2021_IECA_286,European Convention,European Convention,,,,47442,45665
2021_IECA_287,European Convention,European Convention,,,,47442,45665
2021_IECA_296,European Convention,European Convention,,,,47442,45665
2021_IECA_302,Hague Convention,Hague Convention,,,,36729,32191
2021_IECA_303,European Convention,European Convention,,,,47442,45665
2021_IECA_306,European Convention,European Convention,,,,47442,45665
2021_IECA_314,Aarhus Convention,Aarhus Convention,,,,63324,59889
2021_IECA_315,European Convention,European Convention,,,,47442,45665
2021_IECA_335,European Convention,European Convention,,,,47442,45665
2021_IECA_336,European Convention,European Convention,,,,47442,45665
2021_IECA_50,European Convention,European Convention,,,,47442,45665
2021_IECA_79,Hague Convention,Hague Convention,,,,36729,32191
2021_IECA_99,European Convention,European Convention,,,,47442,45665
2021_IEHC_10,European Convention,European Convention,,,,47442,45665
2021_IEHC_100,European Convention,European Convention,,,,47442,45665
2021_IEHC_108,European Convention,European Convention,,,,47442,45665
2021_IEHC_109,European Convention,European Convention,,,,47442,45665
2021_IEHC_149,European Convention,European Convention,,,,47442,45665
2021_IEHC_150,European Convention,European Convention,,,,47442,45665
2021_IEHC_17,European Convention,European Convention,,,,47442,45665
2021_IEHC_196,European Convention,European Convention,,,,47442,45665
2021_IEHC_206,European Convention,European Convention,,,,47442,45665
2021_IEHC_210,European Convention,European Convention,,,,47442,45665
2021_IEHC_236,European Convention,European Convention,,,,47442,45665
2021_IEHC_270,European Convention,European Convention,,,,47442,45665
2021_IEHC_271,European Convention,European Convention,,,,47442,45665
2021_IEHC_275,European Convention,European Convention,,,,47442,45665
2021_IEHC_302,European Convention,European Convention,,,,47442,45665
2021_IEHC_305,European Convention,European Convention,,,,47442,45665
2021_IEHC_31,European Convention,European Convention,,,,47442,45665
2021_IEHC_316,European Convention,European Convention,,,,47442,45665
2021_IEHC_32,European Convention,European Convention,,,,47442,45665
2021_IEHC_32,Refugee Convention 1951,Refugee Convention,1951,,,51168,10409
2021_IEHC_374,European Convention,European Convention,,,,47442,45665
2021_IEHC_385,European Convention,European Convention,,,,47442,45665
2021_IEHC_4,European Convention,European Convention,,,,47442,45665
2021_IEHC_40,European Convention,European Convention,,,,47442,45665
2021_IEHC_404,European Convention,European Convention,,,,47442,45665
2021_IEHC_405,European Convention,European Convention,,,,47442,45665
2021_IEHC_414,European Convention,European Convention,,,,47442,45665
2021_IEHC_445,European Convention,European Convention,,,,47442,45665
2021_IEHC_460,European Convention,European Convention,,,,47442,45665
2021_IEHC_461,European Convention,European Convention,,,,47442,45665
2021_IEHC_491,European Convention,European Convention,,,,47442,45665
2021_IEHC_510,European Convention,European Convention,,,,47442,45665
2021_IEHC_521,European Convention,European Convention,,,,47442,45665
2021_IEHC_537,European Convention,European Convention,,,,47442,45665
2021_IEHC_547,European Convention,European Convention,,,,47442,45665
2021_IEHC_555,European Convention,European Convention,,,,47442,45665
2021_IEHC_580,European Convention,European Convention,,,,47442,45665
2021_IEHC_581,European Convention,European Convention,,,,47442,45665
2021_IEHC_582,European Convention,European Convention,,,,47442,45665
2021_IEHC_584,European Convention,European Convention,,,,47442,45665
2021_IEHC_585,European Convention,European Convention,,,,47442,45665
2021_IEHC_586,European Convention,European Convention,,,,47442,45665
2021_IEHC_590,European Convention,European Convention,,,,47442,45665
2021_IEHC_592,European Convention,European Convention,,,,47442,45665
2021_IEHC_61,European Convention,European Convention,,,,47442,45665
2021_IEHC_610,Aarhus Convention,Aarhus Convention,,,,63324,59889
2021_IEHC_610,Espoo Convention,Espoo Convention,,,,19584,52851
2021_IEHC_630,European Convention,European Convention,,,,47442,45665
2021_IEHC_632,European Convention,European Convention,,,,47442,45665
2021_IEHC_634,European Convention,European Convention,,,,47442,45665
2021_IEHC_637,European Convention,European Convention,,,,47442,45665
2021_IEHC_644,European Convention,European Convention,,,,47442,45665
2021_IEHC_687,European Convention,European Convention,,,,47442,45665
2021_IEHC_692,European Convention,European Convention,,,,47442,45665
2021_IEHC_698,European Convention,European Convention,,,,47442,45665
2021_IEHC_714,Hague Convention,Hague Convention,,,,36729,32191
2021_IEHC_716,European Convention,European Convention,,,,47442,45665
2021_IEHC_717,Dublin Convention,Dublin Convention,,,,5802,30086
2021_IEHC_717,European Convention,European Convention,,,,47442,45665
2021_IEHC_721,Montreal Convention,Montreal Convention,,,,53459,19475
2021_IEHC_733,Aarhus Convention,Aarhus Convention,,,,63324,59889
2021_IEHC_733,Espoo Convention,Espoo Convention,,,,19584,52851
2021_IEHC_733,UN/ECE Convention,UN/ECE Convention,,/ECE Convention,,6767,37673
2021_IEHC_738,European Convention,European Convention,,,,47442,45665
2021_IEHC_74,European Convention,European Convention,,,,47442,45665
2021_IEHC_747,European Convention,European Convention,,,,47442,45665
2021_IEHC_748,European Convention,European Convention,,,,47442,45665
2021_IEHC_748,Hague Convention,Hague Convention,,,,36729,32191
2021_IEHC_76,United Nations Convention,United Nations Convention,,,,51156,21434
2021_IEHC_766,European Convention,European Convention,,,,47442,45665
2021_IEHC_774,Hague Convention,Hague Convention,,,,36729,32191
2021_IEHC_784,European Convention,European Convention,,,,47442,45665
2021_IEHC_784,Hague Convention,Hague Convention,,,,36729,32191
2021_IEHC_785,European Convention,European Convention,,,,47442,45665
2021_IEHC_789,European Convention,European Convention,,,,47442,45665
2021_IEHC_790,Hague Convention,Hague Convention,,,,36729,32191
2021_IEHC_795,Hague Convention,Hague Convention,,,,36729,32191
2021_IEHC_795,Lugano Convention,Lugano Convention,,,,19444,45812
2021_IEHC_798,European Convention,European Convention,,,,47442,45665
2021_IEHC_82,European Convention,European Convention,,,,47442,45665
2021_IEHC_825,European Convention,European Convention,,,,47442,45665
2021_IEHC_827,European Convention,European Convention,,,,47442,45665
2021_IEHC_828,European Convention,European Convention,,,,47442,45665
2021_IEHC_830,European Convention,European Convention,,,,47442,45665
2021_IEHC_838,European Convention,European Convention,,,,47442,45665
