Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2020_IEHC_528,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_573,Criminal Code,Criminal Code,,,,18707,26220
2020_IEHC_573,Lisbon Treaty,Lisbon Treaty,,,,62744,18668
2020_IEHC_606,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IEHC_606,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_607,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_607,Criminal Code,Criminal Code,,,,18707,26220
2020_IESC_27,EU Treaty,EU Treaty,,,,31995,22280
2020_IESC_30,Constitution,Constitution,,,,8988,2159
2020_IESC_40,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IESC_40,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IESC_63,Constitution,Constitution,,,,8988,2159
2020_IESC_78,United Kingdom Immigration Rules,United Kingdom Immigration Rules,,,,6258,6002
2021_IECA_1,EC Treaty,EC Treaty,,,,16953,35477
2021_IECA_1,EU Treaty,EU Treaty,,,,31995,22280
2021_IECA_159,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IECA_16,EU Treaty,EU Treaty,,,,31995,22280
2021_IECA_16,United Kingdom Immigration Rules,United Kingdom Immigration Rules,,,,6258,6002
2021_IECA_165,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IECA_209,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IECA_210,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IECA_210,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IECA_219,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IECA_219,Criminal Code,Criminal Code,,,,18707,26220
2021_IECA_219,Lithuanian Criminal Code,Lithuanian Criminal Code,,,,46098,49501
2021_IECA_242,EU Treaty,EU Treaty,,,,31995,22280
2021_IECA_298,EU Treaty,EU Treaty,,,,31995,22280
2021_IECA_315,Constitution,Constitution,,,,8988,2159
2021_IECA_317,Constitution,Constitution,,,,8988,2159
2021_IECA_317,National Planning Framework,National Planning Framework,,,,7368,23761
2021_IECA_317,Natura 2000,Natura,2000,,,61668,28308
2021_IECA_75,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IECA_92,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IECA_92,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IECA_92,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_108,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_108,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_108,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_108,Journal of Laws 2019,Journal of Laws,2019,,,5200,13490
2021_IEHC_109,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_109,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_109,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_109,Journal of Laws 2019,Journal of Laws,2019,,,5200,13490
2021_IEHC_109,Journal of Laws 2020,Journal of Laws,2020,,,40520,13490
2021_IEHC_149,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_160,Constitution 1937,Constitution,1937,,https://www.irishstatutebook.ie/1937/en/si/0320.html?q=Constitution&years=1937,19351,2159
2021_IEHC_160,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_17,EU Treaty,EU Treaty,,,,31995,22280
2021_IEHC_17,United Kingdom Immigration Rules,United Kingdom Immigration Rules,,,,6258,6002
2021_IEHC_197,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_197,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_198,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_198,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_207,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_270,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_270,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_292,Constitution 1937,Constitution,1937,,https://www.irishstatutebook.ie/1937/en/si/0320.html?q=Constitution&years=1937,19351,2159
2021_IEHC_294,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_3,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_305,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_305,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_31,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_316,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_375,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_38,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_38,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_404,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_405,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_413,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_414,Constitution,Constitution,,,,8988,2159
2021_IEHC_414,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_441,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_445,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_445,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_460,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_461,Council Framework Decision 2008/909/JHA,Council Framework Decision,2008,2008/909/JHA,,25908,41583
2021_IEHC_461,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_491,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_50,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_506,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_510,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_510,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_537,European Prison Rules,European Prison Rules,,,,6631,64583
2021_IEHC_537,United Nations Standard Minimum Rules,United Nations Standard Minimum Rules,,,,9023,8695
2021_IEHC_547,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_555,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_555,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_572,EU Treaty,EU Treaty,,,,31995,22280
2021_IEHC_572,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_572,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_572,Lisbon Treaty,Lisbon Treaty,,,,62744,18668
2021_IEHC_581,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_581,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_582,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_584,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_587,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_587,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_590,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_608,COVID-19 and Business Interruption Supervisory Framework,COVID-19 and Business Interruption Supervisory Framework,,,,11431,54672
2021_IEHC_61,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2021_IEHC_610,Natura 2000,Natura,2000,,,61668,28308
2021_IEHC_63,EU Treaty,EU Treaty,,,,31995,22280
2021_IEHC_631,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_631,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_632,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_639,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
