Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2020_IESC_30,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IESC_30,Interpretation Act 2005,Interpretation Act,2005,,https://www.irishstatutebook.ie/2005/en/act/pub/0023/index.html?q=Interpretation+Act&years=2005,63146,15307
2020_IESC_30,Refugee Act 1996,Refugee Act,1996,,,8338,38594
2020_IESC_30,Residential Tenancies Act 2004,Residential Tenancies Act,2004,,,57774,16055
2020_IESC_30,Status of Children Act 1987,Status of Children Act,1987,,https://www.irishstatutebook.ie/1987/en/act/pub/0026/index.html?q=Status+of+Children+Act&years=1987,49664,52350
2020_IESC_30,Succession Act 1965,Succession Act,1965,,,62219,2699
2020_IESC_40,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IESC_48,Civil Registration (Amendment) Act 2014,Civil Registration Act,2014,Amendment,,46389,17912
2020_IESC_48,Civil Registration Act 2004,Civil Registration Act,2004,,,39289,17912
2020_IESC_48,Family Law Act 1995,Family Law Act,1995,,https://www.irishstatutebook.ie/1995/en/act/pub/0026/index.html?q=Family+Law+Act&years=1995,32608,40334
2020_IESC_48,Family Law Act 2019,Family Law Act,2019,,https://www.irishstatutebook.ie/2019/en/si/0585.html?q=Family+Law+Act&years=2019,5785,40334
2020_IESC_48,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IESC_48,Interpretation Act 2005,Interpretation Act,2005,,https://www.irishstatutebook.ie/2005/en/act/pub/0023/index.html?q=Interpretation+Act&years=2005,63146,15307
2020_IESC_62,Criminal Law (Rape) (Amendment) Act 1990,Criminal Law Act,1990,"Rape,Amendment",,40761,29070
2020_IESC_62,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IESC_62,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IESC_63,British Nationality Act 1948,British Nationality Act,1948,,,36638,11525
2020_IESC_63,Criminal Law Act 1976,Criminal Law Act,1976,,https://www.irishstatutebook.ie/1976/en/si/0112.html?q=Criminal+Law+Act&years=1976,61739,29070
2020_IESC_63,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IESC_63,Extradition Act 1965,Extradition Act,1965,,https://www.irishstatutebook.ie/1965/en/si/0161.html?q=Extradition+Act&years=1965,24348,44883
2020_IESC_63,Human Rights Act 1948,Human Rights Act,1948,,,29940,57385
2020_IESC_63,Human Rights Act 2003,Human Rights Act,2003,,https://www.irishstatutebook.ie/2003/en/si/0483.html?q=Human+Rights+Act&years=2003,29332,57385
2020_IESC_63,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IESC_63,Irish Nationality and Citizenship Act 1956,Irish Nationality and Citizenship Act,1956,,,23650,3489
2020_IESC_63,Offences Against the State Act 1939,Offences Against the State Act,1939,,,38355,39324
2020_IESC_63,Refugee Act 1996,Refugee Act,1996,,,8338,38594
2021_IECA_1,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2021_IECA_1,Residential Tenancies Act 2004,Residential Tenancies Act,2004,,,57774,16055
2021_IECA_106,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2021_IECA_106,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2021_IECA_106,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2021_IECA_106,Refugee Act 1996,Refugee Act,1996,,,8338,38594
2021_IECA_111,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2021_IECA_119,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2021_IECA_119,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2021_IECA_159,Criminal Justice (Terrorist Offences) Act,Criminal Justice Act,,Terrorist Offences,,20629,64073
2021_IECA_159,EAW Act,EAW Act,,,,9389,6775
2021_IECA_159,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2021_IECA_16,Human Rights Act 2003,Human Rights Act,2003,,https://www.irishstatutebook.ie/2003/en/si/0483.html?q=Human+Rights+Act&years=2003,29332,57385
2021_IECA_165,Criminal Justice Act,Criminal Justice Act,,,,22099,64073
2021_IECA_165,Criminal Law (Extraterritorial Jurisdiction) Act,Criminal Law Act,,Extraterritorial Jurisdiction,,53454,29070
2021_IECA_165,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2021_IECA_165,European Union (European Arrest Warrant) Act 2003,European Union Act,2003,European Arrest Warrant,,53290,417
2021_IECA_165,Extradition Act,Extradition Act,,,,47231,44883
2021_IECA_165,Offences Against the Person Act,Offences Against the Person Act,,,,27317,48491
2021_IECA_188,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2021_IECA_209,Criminal Justice Act 2006,Criminal Justice Act,2006,,https://www.irishstatutebook.ie/2006/en/si/0047.html?q=Criminal+Justice+Act&years=2006,38216,64073
2021_IECA_209,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2021_IECA_210,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2021_IECA_219,Criminal Justice (Miscellaneous Provisions) Act 2009,Criminal Justice Act,2009,Miscellaneous Provisions,https://www.irishstatutebook.ie/2009/en/si/0293.html?q=Criminal+Justice+Miscellaneous+Provisions+Act&years=2009,49055,64073
2021_IECA_219,Criminal Justice (Terrorist Offences) Act 2005,Criminal Justice Act,2005,Terrorist Offences,https://www.irishstatutebook.ie/2005/en/si/0416.html?q=Criminal+Justice+Terrorist+Offences+Act&years=2005,48537,64073
2021_IECA_219,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2021_IECA_219,Human Rights Act 1950,Human Rights Act,1950,,,54224,57385
2021_IECA_242,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2021_IECA_243,Criminal Law (Rape) (Amendment) Act 1990,Criminal Law Act,1990,"Rape,Amendment",,40761,29070
2021_IECA_247,Judicial Council Act 2019,Judicial Council Act,2019,,https://www.irishstatutebook.ie/2019/en/si/0457.html?q=Judicial+Council+Act&years=2019,48913,53150
2021_IECA_248,Central Bank Act,Central Bank Act,,,,4377,18107
2021_IECA_248,Consumer Credit Act,Consumer Credit Act,,,,31048,31378
2021_IECA_248,Conveyancing Act,Conveyancing Act,,,,57113,9593
2021_IECA_248,Land and Conveyancing Law Reform Act 2009,Land and Conveyancing Law Reform Act,2009,,https://www.irishstatutebook.ie/2009/en/si/0356.html?q=Land+and+Conveyancing+Law+Reform+Act&years=2009,24550,6692
2021_IECA_249,Civil Liability Act,Civil Liability Act,,,,41263,50064
2021_IECA_249,Road Traffic Act,Road Traffic Act,,,,26920,26943
2021_IECA_250,Human Rights Act 2003,Human Rights Act,2003,,https://www.irishstatutebook.ie/2003/en/si/0483.html?q=Human+Rights+Act&years=2003,29332,57385
2021_IECA_250,Property Services Regulation Act 2011,Property Services Regulation Act,2011,,,62437,39476
2021_IECA_250,Property Services Regulation Act 2011,Property Services Regulation Act,2011,,,62437,39476
2021_IECA_251,Irish Bank Resolution Corporation Act,Irish Bank Resolution Corporation Act,,,,46349,17110
